Name,Email,Experience,Country,Industry,LinkedIn Input,Job Description,Likes and Interests,Impact Made,Stage Relevance,Skill Set,Tags
Helena Schmidt,h.schmidt@greentourism.de,5 years,Germany,Eco-Friendly Tourism SaaS,Professional in Green Tourism | Passionate about innovation | Open for collaboration,Creating booking tools for sustainable accommodations.,"hiking, nature, booking platforms",Partnered with 300+ eco-resorts.,MVP,"Product Design, Sustainability, APIs, React, Data","green tourism, innovation, germany"
Arun Devraj,arun.devraj@langrevive.in,6 years,India,Indigenous Language Preservation,Professional in Language Tech | Passionate about innovation | Open for collaboration,Digitizing and reviving endangered Indian languages.,"folklore, literature, AI",Preserved 8 dialects through AI models.,Growth,"NLP, Python, Data Labeling, Education, Culture","language preservation, innovation, india"
Chen Wei,chen.wei@waterwatch.cn,10 years,China,Smart Water Monitoring Systems,Professional in WaterTech | Passionate about innovation | Open for collaboration,Designing IoT-based tools to detect water contamination.,"water science, tech, hardware",Reduced contamination detection time by 60%.,Scaling,"IoT, Python, Sensors, Cloud, Analytics","water monitoring, innovation, china"
Tara Bloom,tara.bloom@mindheal.ai,4 years,Canada,AI-Based Mental Health Support,Professional in Mental Health Tech | Passionate about innovation | Open for collaboration,Building AI chatbots to provide affordable mental health care.,"journaling, yoga, psychology","Reached 10,000+ therapy sessions in beta.",MVP,"AI/ML, Chatbots, NLP, Mental Health, UX","mental health ai, innovation, canada"
Alejandro Cruz,ale.cruz@foodrescue.mx,7 years,Mexico,Food Waste Management Platforms,Professional in FoodTech | Passionate about innovation | Open for collaboration,Building systems to redirect excess food from stores to NGOs.,"volunteering, sustainability",Saved 500 tons of food from landfill.,Growth,"Logistics, UX, Python, Cloud, NGO Systems","food rescue, innovation, mexico"
Rina Kapoor,rina.kapoor@shetech.in,8 years,India,Women in STEM Community Platforms,Professional in Diversity Tech | Passionate about innovation | Open for collaboration,Creating communities and tools for women in tech careers.,"mentoring, coding, travel",Supported 15K+ women in upskilling journeys.,Scaling,"Community Ops, Python, Social Design, Strategy","women in stem, innovation, india"
Ahmed Al-Saleh,ahmed.saleh@transitvision.me,5 years,Jordan,Public Transport Optimization,Professional in TransitTech | Passionate about innovation | Open for collaboration,Building tools to predict and balance urban bus demand.,"maps, chess, public systems",Cut transit wait times by 18%.,Iteration,"Predictive Analytics, Python, GIS, Civic Data","public transit ai, innovation, jordan"
Zoe Taylor,zoe.taylor@storyscope.org,6 years,UK,Storytelling Tools for Nonprofits,Professional in Nonprofit Tech | Passionate about innovation | Open for collaboration,Helping NGOs collect and share powerful stories with tech.,"photography, podcasts, writing",Improved donor conversion by 24%.,MVP,"UX Design, Content, Story Mapping, SaaS, APIs","nonprofit storytelling, innovation, uk"
Hamza El Amrani,hamza.amrani@eduprep.ma,5 years,Morocco,College Prep for Low-Income Students,Professional in EduAccess | Passionate about innovation | Open for collaboration,Building mobile-first college prep tools in Arabic and French.,"education, youth empowerment",Increased college admissions by 33%.,Growth,"UX, Curriculum Design, Localization, EdTech","edu access, innovation, morocco"
Anna Müller,anna.muller@votetrust.org,9 years,Switzerland,Secure e-Voting Systems,Professional in E-Voting | Passionate about innovation | Open for collaboration,Designing blockchain-secure digital voting tools.,"civic tech, security, UX",Ran elections for 20K+ voters securely.,Scaling,"Blockchain, Cybersecurity, UX, Policy, Cloud","evoting systems, innovation, switzerland"
Sana Rahman,sana.rahman@policyhub.pk,6 years,Pakistan,Public Policy Automation,Professional in GovTech | Passionate about innovation | Open for collaboration,Building tools that automate policy simulations and visualizations.,"politics, maps, analysis",Helped reduce policy cycle times by 45%.,Growth,"Policy Design, Python, Visualization, Systems Thinking","policy automation, innovation, pakistan"
Lucas Ferreira,lucas.ferreira@sportstechlab.br,7 years,Brazil,Sports Performance Analytics,Professional in SportsTech | Passionate about innovation | Open for collaboration,Building data platforms to improve athlete performance and reduce injuries.,"football, wearables, ML",Reduced injury risk by 30% across 5 teams.,Growth,"Data Analytics, Wearables, Python, Sports Science","sports analytics, innovation, brazil"
Hana Lee,hana.lee@learnvr.kr,5 years,South Korea,VR-Based Learning,Professional in EdVR | Passionate about innovation | Open for collaboration,Developing immersive virtual learning environments for schools.,"VR, education, game design",Increased test retention by 22%.,MVP,"Unity, Python, UX, Curriculum Design, VR Dev","vr learning, innovation, korea"
David Stein,dstein@justcontracts.de,9 years,Germany,Legal Document AI,Professional in Legal NLP | Passionate about innovation | Open for collaboration,Creating NLP tools to automate legal contract analysis.,"reading, law, NLP",Reduced contract review time by 65%.,Scaling,"NLP, Python, LegalTech, SaaS, Data Privacy","legal ai, innovation, germany"
Nour El-Sayed,nour.elsayed@medconnect.eg,8 years,Egypt,Healthcare Referral Platforms,Professional in MedTech | Passionate about innovation | Open for collaboration,Building digital platforms for doctor referrals in underserved areas.,"telemedicine, health access",100+ hospitals using referral network.,Growth,"API Design, Healthcare Ops, Cloud, Product, UX","med referral, innovation, egypt"
George Black,george.black@votely.us,10 years,USA,Blockchain Voting,Professional in CivicTech | Passionate about innovation | Open for collaboration,Securing local elections with blockchain tech.,"elections, policy, tech",Increased turnout by 18% in pilot rollout.,Scaling,"Blockchain, Cybersecurity, Civic Tech, UX, Policy","blockchain voting, innovation, usa"
Priyanka Rao,priyanka.rao@craftskills.in,4 years,India,Vocational Training Platforms,Professional in SkillTech | Passionate about innovation | Open for collaboration,Building vernacular platforms for hands-on skill training.,"crafts, community, education",Enabled 10K+ enrollments in rural areas.,MVP,"LMS, Localized UX, EdTech, Product, Research","skill platforms, innovation, india"
Santiago Morales,santiago.m@heritagehub.co,6 years,Colombia,Cultural Tourism Tech,Professional in TourismTech | Passionate about innovation | Open for collaboration,Connecting travelers with authentic local cultural experiences.,"heritage, food, travel",Generated $2M in tourism economy uplift.,Growth,"UX, Geo Apps, Maps, Mobile, Multilingual Dev","cultural tourism, innovation, colombia"
Mei Lin,mei.lin@oceanviewtech.hk,7 years,Hong Kong,Smart Coastal Monitoring,Professional in OceanTech | Passionate about innovation | Open for collaboration,Monitoring ocean pollution using real-time sensor networks.,"diving, sustainability, hardware",Detected 400+ pollution spikes early.,Scaling,"Sensors, Ocean Data, AI, Python, Remote Sensing","coastal monitoring, innovation, hong kong"
Hassan Al-Maktoum,hassan.m@civicledger.ae,11 years,UAE,Government Budget Transparency,Professional in Civic Blockchain | Passionate about innovation | Open for collaboration,Blockchain systems for visualizing and verifying gov budget flows.,"policy, transparency, blockchain",Tracked $1B in budget allocations.,Scaling,"Blockchain, Governance, Data Viz, Smart Contracts","gov transparency, innovation, uae"
Chioma Okonkwo,chioma.o@scholarpath.ng,5 years,Nigeria,Scholarship Discovery Tools,Professional in EduTools | Passionate about innovation | Open for collaboration,Aggregating and personalizing scholarships for students.,"education, youth, mentoring",Matched 2K+ students with aid options.,Validation,"Aggregators, Search Algorithms, Python, UX","scholarship tools, innovation, nigeria"
Nathan Carter,ncarter@reskillnow.io,6 years,USA,Workforce Reskilling Platforms,Professional in EdReskill | Passionate about innovation | Open for collaboration,Helping laid-off workers transition into new tech careers.,"learning, tech, career change",85% job placement after completion.,Growth,"LMS, Career Mapping, UX, Product Strategy","workforce reskilling, innovation, usa"
Myriam Haddad,myriam.haddad@cleanenergy.lb,8 years,Lebanon,Renewable Energy Monitoring,Professional in EnergyTech | Passionate about innovation | Open for collaboration,Monitoring grid efficiency for solar installations.,"solar energy, hiking, science",Boosted grid uptime by 15%.,Iteration,"IoT, SolarTech, UX Dashboards, Analytics","energy monitoring, innovation, lebanon"
Jakob Nielsen,jakob.nielsen@openheritage.dk,10 years,Denmark,Digital Preservation of Monuments,Professional in Digital Culture | Passionate about innovation | Open for collaboration,Scanning and preserving UNESCO sites in 3D.,"culture, design, photography",Created 3D archives of 20+ heritage sites.,Growth,"3D Scanning, Cloud Storage, Photogrammetry, UX","monument preservation, innovation, denmark"
Roshni Sharma,roshni.sharma@greenblocks.in,7 years,India,Eco-Conscious Architecture Tools,Professional in ArchiTech | Passionate about innovation | Open for collaboration,Tools for green building and carbon tracking in construction.,"architecture, eco living, maps",Helped save 15K tons CO₂ in 1 year.,Scaling,"BIM, Eco Ratings, Python, SaaS, Product Design","eco architecture, innovation, india"
Julien Tremblay,julien.t@impacthub.ca,6 years,Canada,Impact Measurement for Social Startups,Professional in Social Impact | Passionate about innovation | Open for collaboration,Creating frameworks and tools for measuring nonprofit impact.,"social metrics, data, biking",Standardized reporting for 300+ orgs.,Growth,"Theory of Change, Metrics, SaaS, Dashboards","social impact tech, innovation, canada"
Zahra Abbasi,zahra.abbasi@finenable.ir,7 years,Iran,Financial Inclusion Platforms,Professional in FinAccess | Passionate about innovation | Open for collaboration,Mobile-first banking for unbanked populations.,"fintech, literacy, storytelling",Enabled 20K+ new users to access savings.,MVP,"Mobile UX, Fin Literacy, APIs, Risk Controls","financial inclusion, innovation, iran"
Liam O'Connor,liam.oconnor@digitwin.ie,9 years,Ireland,Digital Twins for Smart Cities,Professional in Smart Cities | Passionate about innovation | Open for collaboration,Modeling urban infrastructure for planning and safety.,"cities, modeling, tech",Simulated 12 city zones for 2030 planning.,Scaling,"Digital Twins, Urban Planning, 3D, Python, Data","smart city twins, innovation, ireland"
Elias Johansson,elias.j@climateai.se,10 years,Sweden,AI for Climate Risk Modeling,Professional in Climate Risk AI | Passionate about innovation | Open for collaboration,Creating predictive models for climate risk and disaster forecasting.,"skiing, sustainability, data",Predicted climate risk zones with 85% accuracy.,Scaling,"AI/ML, Data Science, Climate Models, Python, Visualization","climate risk ai, innovation, sweden"
Priya Menon,priya.menon@medtek.in,12 years,India,Digital Health & Telemedicine,HealthTech leader | AI in diagnostics | Driving access to care,Leading telemedicine platform integrations in rural India.,"hiking, yoga, health equity",Enabled 200k+ rural consultations via AI triage.,Growth,"HealthTech, AI Diagnostics, Public Health, EMR, UX Design","digital health, india, impact driven"
Jorge Martinez,j.martinez@agrointel.mx,9 years,Mexico,Smart Agriculture & IoT,Agritech specialist | IoT for crop intelligence | Soil-first approach,Designing smart irrigation and crop monitoring systems.,"robotics, biodiversity, farming",Boosted crop yield by 30% using sensor data.,Product-Market Fit,"IoT, Agronomy, Embedded Systems, Data Pipelines","smart agriculture, iot, mexico"
Amara Diallo,amara.d@greeninfra.sn,14 years,Senegal,Renewable Infrastructure,Civil Engineer | Green infrastructure | Clean energy advocate,Developing solar microgrids across West Africa.,"solar tech, education, cycling",Electrified 50+ villages using solar solutions.,Scaling,"Solar Power, Infrastructure, Project Mgmt, Policy","renewables, senegal, infrastructure"
Daniel Reyes,dreyes@finblock.dev,8 years,USA,Blockchain for Fintech,Crypto engineer | Decentralized finance | Building next-gen systems,Architecting DeFi payment rails for low-fee transactions.,"crypto, travel, jazz",Reduced transaction costs by 90% on P2P network.,MVP,"Solidity, Rust, Blockchain, dApps, Security","fintech, blockchain, defi"
Mia Zhang,mzhang@edlabs.cn,11 years,China,EdTech & AI Tutoring,AI Tutor Builder | Learning systems designer | Passionate about equity,Creating adaptive AI tutors for underserved schools.,"calligraphy, linguistics, kids tech",Improved literacy rates in 60k+ students.,Scaling,"AI/ML, NLP, Curriculum Design, UX Research","edtech, ai education, china"
Fatima El Amrani,f.elamrani@cleanair.ma,10 years,Morocco,Environmental Monitoring,Air quality scientist | Environmental sensor advocate | Policy shaper,Deploying low-cost air quality sensors in urban centers.,"hiking, climate justice, sensors",Influenced new pollution legislation in Rabat.,Early Scaling,"IoT, Environmental Science, Data Policy","air quality, morocco, environment"
Lucas Meyer,lucas.m@quantpharma.de,15 years,Germany,Quantum Computing for Pharma,Quantum innovator | Drug discovery enthusiast | Complexity solver,Building quantum algorithms for molecule simulation.,"physics, biotech, board games",Reduced compound screening time by 50%.,Deep Tech,"Quantum Algorithms, Chemistry, HPC, Python","quantum pharma, germany, biotech"
Reem Al-Khatib,reem.k@urbanai.ae,7 years,UAE,AI for Urban Planning,Smart city designer | Urban AI thinker | Data for livability,Using AI to optimize traffic flow in smart cities.,"architecture, cities, data viz",Reduced commute times in Dubai smart corridor.,Expansion,"Urban AI, Data Science, GIS, Mobility","smart cities, ai urban, uae"
Tomoko Fujita,t.fujita@agrobot.jp,10 years,Japan,Robotics in Agriculture,Robotics engineer | Agri-automation leader | Precision farming fan,Leading the design of robotic harvesters.,"robotics, minimalism, sushi","Automated harvest in 2,000+ hectares of farms.",Scaling,"Robotics, ML, Mechanical Design, ROS","agri robotics, japan, automation"
Kwame Osei,kwame.osei@fininclusion.gh,13 years,Ghana,FinTech for Financial Inclusion,FinTech architect | Mobile banking evangelist | Inclusion-first,Designing mobile wallets for unbanked communities.,"microfinance, cycling, tech for good",Helped onboard 1M+ users to mobile wallets.,Scaling,"Mobile Finance, UX, APIs, Compliance","fintech inclusion, ghana, mobile"
Sophia Müller,sophia.m@mobilitynext.de,9 years,Germany,Sustainable Mobility,Mobility strategist | EV adoption driver | Transportation nerd,Creating EV infrastructure rollouts in urban centers.,"travel, EVs, policy",Boosted EV usage by 40% in pilot cities.,PMF,"Urban Planning, Policy, EV Tech, Public Data","sustainable mobility, germany, ev"
Nathan Brooks,n.brooks@carbonai.co,11 years,UK,AI for Carbon Capture,ML researcher | Climate tech advocate | Carbon lifecycle optimizer,Training AI models to monitor carbon capture efficacy.,"AI, climate, soccer",Increased carbon capture prediction accuracy 4x.,Deep Tech,"AI/ML, Geoscience, Simulation, Python","carbon capture, ai climate, uk"
Lindiwe Khumalo,l.khumalo@eduimpact.za,10 years,South Africa,EdTech for Rural Schools,Education technologist | Equity in learning | Curriculum builder,Bringing offline EdTech solutions to rural schools.,"reading, education equity, dance",Provided access to digital content for 500+ schools.,Growth,"Offline Tech, EdTech, LMS, Teacher Training","edtech rural, south africa, learning"
Matteo Rossi,m.rossi@medgenomics.it,12 years,Italy,Genomics & Personalized Medicine,Bioinformatician | Human genome explorer | Healthcare innovator,Creating pipelines for personalized treatment via genomics.,"biology, AI, cycling",Decreased misdiagnosis rate by 25% via genomic analysis.,Deep Tech,"Genomics, Bioinformatics, Python, AI","healthtech, genomics, italy"
Emily Carter,e.carter@gridwise.energy,8 years,USA,Smart Grids & Energy AI,Energy AI engineer | Smart grid designer | Data-driven resilience,Developing grid optimization systems for energy loads.,"hiking, clean tech, grid systems",Reduced outages by 35% in test markets.,Growth,"Grid Tech, AI, Electrical Eng, Time Series","energy ai, smartgrid, usa"
Hasan Yılmaz,hasan.y@agrochain.tr,9 years,Turkey,Blockchain in Agriculture,Blockchain dev | Supply chain traceability | Agro transparency,Building blockchain systems to trace farm-to-table supply chains.,"logistics, farming, crypto",Prevented $2M in fraud via transparent ledgers.,Scaling,"Blockchain, Supply Chains, Smart Contracts","agri blockchain, turkey, traceability"
Isabella Moreira,isabella.m@cleanhubs.br,13 years,Brazil,Circular Economy & Waste Tech,Circular economy expert | Urban waste innovation | Social impact,Designing tech for waste separation in favelas.,"recycling, community, art",Reduced landfill waste by 40% in pilot zones.,Impact,"Waste Mgmt, Circular Systems, Urban Innovation","cleantech, circular economy, brazil"
Omar Nasser,o.nasser@cybermed.me,10 years,Lebanon,Cybersecurity in HealthTech,CyberSec lead | Health data protector | Privacy-focused dev,Securing medical data across hospitals and platforms.,"ethics, privacy, medical AI",Prevented multiple data breaches in regional hospitals.,Security,"Cybersecurity, HealthTech, Compliance, Encryption","healthtech security, lebanon, privacy"
Aisha Farouk,aisha.f@agritechhub.ng,11 years,Nigeria,AgriFinTech,Agri-fintech innovator | Rural credit systems | Mobile lending,Enabling microcredit for farmers via mobile platforms.,"fintech, agriculture, design",Provided loans to 150k+ farmers with 95% repayment.,Growth,"FinTech, Agriculture, Credit Models, Mobile UX","agri fintech, nigeria, rural"
Ayanda Dlamini,ayanda.d@waterconnect.africa,8 years,South Africa,Water Access Mapping,Professional in HydroTech | Passionate about innovation | Open for collaboration,Designing tools to map and track water access in rural communities.,"cartography, sustainability",Connected 120+ villages to verified sources.,Growth,"GIS, Mobile Apps, Mapping APIs, Community Data","water access, innovation, south africa"
Vladislav Petrov,vlad.p@publicaudit.ru,10 years,Russia,Gov Audit Automation,Professional in Civic Audit | Passionate about innovation | Open for collaboration,Automating public expenditure audits using AI.,"transparency, data law",Cut audit time by 40% across 10 regions.,Scaling,"NLP, Policy, Data Science, AI/ML, Audit Tools","gov audit ai, innovation, russia"
Laila Haddad,laila.h@healthvoices.lb,6 years,Lebanon,Patient Feedback Analytics,Professional in Health Experience | Passionate about innovation | Open for collaboration,Aggregating patient feedback to drive hospital quality.,"surveys, UX research",Improved NPS by 25% across 4 hospitals.,Growth,"Survey Tools, UX Research, Healthcare UX, Python","patient experience, innovation, lebanon"
Samuel Njoroge,sam.njoroge@agribase.ke,7 years,Kenya,Farm Data Management SaaS,Professional in AgriSaaS | Passionate about innovation | Open for collaboration,Offering digital record tools to small farmers.,"agri-tech, SMS apps","3,000+ farmers onboarded in 6 months.",Growth,"AgriTech, SaaS, Mobile UX, APIs, Python","farm data saas, innovation, kenya"
Natalia Nowak,natalia.n@ethiclean.pl,5 years,Poland,Eco Cleaning Product Marketplace,Professional in Green Products | Passionate about innovation | Open for collaboration,Curating a platform for vetted eco-cleaning alternatives.,"clean living, health",70% customer retention in 1st year.,MVP,"E-commerce, Product Research, UX, Python","eco products, innovation, poland"
Muhammad Al-Rashid,m.rashid@fintrust.qa,9 years,Qatar,Shariah-Compliant Finance Platforms,Professional in FinIslamic | Passionate about innovation | Open for collaboration,"Designing compliant, user-first banking tools.","finance, religion, outreach",Enabled 50K new accounts.,Scaling,"FinTech, UX, Compliance, API Integrations","islamic fintech, innovation, qatar"
Lucia Gonzalez,lucia.g@artsconnect.cl,6 years,Chile,Digital Arts Funding Platforms,Professional in ArtTech | Passionate about innovation | Open for collaboration,Creating funding and exposure tools for visual artists.,"exhibitions, painting, writing",Funded 400+ artist projects.,Growth,"Grant Tech, Creator Tools, UX, Community","artist platforms, innovation, chile"
Benjamin Carter,ben.carter@civicblock.org,10 years,USA,Blockchain for Public Records,Professional in Blockchain Gov | Passionate about innovation | Open for collaboration,Ensuring tamper-proof civic documents through blockchain.,"policy, digital rights",Secured 2M+ voter IDs and deeds.,Scaling,"Blockchain, Policy, Infrastructure, Security","civic blockchain, innovation, usa"
Leila Ahmed,leila.ahmed@medrecords.ng,7 years,Nigeria,Electronic Medical Record Platforms,Professional in Health Systems | Passionate about innovation | Open for collaboration,Digitizing patient history for clinics across West Africa.,"data, empathy, healthcare",Replaced 60% of paper systems in pilot state.,Growth,"EMR, Healthcare Dev, APIs, UI, Python","emr platforms, innovation, nigeria"
Daisuke Mori,daisuke.m@foodsecure.jp,8 years,Japan,Urban Agriculture Automation,Professional in FoodTech Japan | Passionate about innovation | Open for collaboration,Building smart irrigation and harvesting systems.,"IoT, green tech, design",Increased yield by 40% for rooftop farms.,Scaling,"IoT, Smart Agriculture, UX, Embedded Systems","urban agritech, innovation, japan"
Anya Ivanova,anya.i@ejustice.bg,5 years,Bulgaria,Virtual Legal Aid Platforms,Professional in Justice Access | Passionate about innovation | Open for collaboration,Delivering free legal tools and support to underserved users.,"community justice, civic tech",Resolved 5K+ queries within 3 months.,MVP,"LegalTech, Chatbots, UX, NLP","legal aid platforms, innovation, bulgaria"
Kofi Asante,kofi.a@commhealth.gh,7 years,Ghana,Community Health Tracking,Professional in HealthTech Africa | Passionate about innovation | Open for collaboration,"Tracking immunization, nutrition and care stats in low-resource areas.","community, data, healthcare",Raised response rates by 50%.,Growth,"mHealth, Data Tools, Survey Systems, Analytics","health tracking, innovation, ghana"
Helena Sørensen,helena.s@mobilitynorth.dk,9 years,Denmark,Adaptive Mobility Solutions,Professional in Mobility Tech | Passionate about innovation | Open for collaboration,Designing tech for people with movement disabilities.,"accessibility, wellness, UI",Boosted engagement by 3x with new UX.,Scaling,"Accessibility Tech, UI/UX, Hardware, Wearables","mobility solutions, innovation, denmark"
Amir Rezaei,amir.r@heritagemap.ir,6 years,Iran,Historical Archive Digitalization,Professional in Digital History | Passionate about innovation | Open for collaboration,Archiving endangered cultural sites and artifacts.,"photography, maps, history",Digitized 10+ UNESCO properties.,Growth,"GIS, Data Archiving, Metadata, Visual Design","heritage tech, innovation, iran"
Fiona Gallagher,fiona.g@greenfunds.ie,10 years,Ireland,Climate Project Investment Platforms,Professional in Green Finance | Passionate about innovation | Open for collaboration,Streamlining funding for green startups and carbon reduction.,"finance, clean tech, climate",$50M+ in projects funded to date.,Scaling,"FinTech, Carbon Credits, Investment Models, APIs","climate funding, innovation, ireland"
Omar Sharif,omar.s@edupeer.org,5 years,Egypt,Peer Tutoring Platforms,Professional in EduTech MENA | Passionate about innovation | Open for collaboration,Connecting students for free peer-to-peer education support.,"mentorship, learning, impact",Supported 12K+ tutoring sessions.,MVP,"P2P Networks, LMS, UX, Student Systems","peer learning, innovation, egypt"
Maria Reyes,maria.reyes@microbuild.mx,7 years,Mexico,Low-Income Housing Planning,Professional in Housing Access | Passionate about innovation | Open for collaboration,Designing micro-home blueprints and financing.,"design, equity, urban systems","Enabled 1,500 new homes.",Growth,"ConstructionTech, UX, GIS, Microfinance","low income housing, innovation, mexico"
Jason Lee,jason.lee@vaxmap.hk,6 years,Hong Kong,Vaccination Access Platforms,Professional in Health Logistics | Passionate about innovation | Open for collaboration,Creating booking and location-based vaccine availability platforms.,"health access, maps, alerts",1M users reached during COVID-19.,Scaling,"Maps, API Dev, Health UX, Alerts","vax access, innovation, hong kong"
Siti Aisyah,siti.aisyah@fishtrace.my,5 years,Malaysia,Marine Species Tracking Systems,Professional in Marine AI | Passionate about innovation | Open for collaboration,Tagging and tracking endangered fish using IoT & AI.,"conservation, diving, sensors",Tracked 200+ fish across 3 oceans.,MVP,"IoT, AI/ML, Marine Bio, Field Research","marine tracking, innovation, malaysia"
André Silva,andre.silva@recycleloop.br,8 years,Brazil,Waste Sorting Automation,Professional in Circular Tech | Passionate about innovation | Open for collaboration,Automating waste sorting and recycling operations.,"robotics, environment, design",Recycled 10K+ tons via pilot facility.,Growth,"Robotics, Automation, UX, Industry 4.0","recycling automation, innovation, brazil"
Talia Cohen,talia.cohen@kidaccess.org.il,7 years,Israel,Early Learning Access,Professional in Child Equity | Passionate about innovation | Open for collaboration,Providing kindergarten access for marginalized communities.,"parenting, childhood, design",3x enrollment in target schools.,Scaling,"Education Access, Community Ops, UX, Policy","early learning access, innovation, israel"
Andrew Brown,a.brown@landchain.co.uk,6 years,UK,Blockchain-Based Land Ownership,Professional in PropTech | Passionate about innovation | Open for collaboration,Land title registry with tamper-proof blockchain proof.,"proptech, legal, mapping",20K+ titles secured digitally.,Growth,"Blockchain, GIS, UX, Civic Policy","land registry, innovation, uk"
Zanele Khumalo,zanele.k@crowdhive.org.za,5 years,South Africa,Volunteer Coordination Platforms,Professional in Social Platforms | Passionate about innovation | Open for collaboration,Matching NGOs and volunteers through smart platforms.,"nonprofits, community, tech",Increased NGO reach by 60%.,Growth,"Matching Algorithms, Social UX, Outreach","volunteer platforms, innovation, south africa"
Emre Demir,emre.demir@reconverse.tr,8 years,Turkey,Refugee Integration Tools,Professional in Humanitarian Tech | Passionate about innovation | Open for collaboration,Helping refugees integrate with job and housing matching tools.,"equity, language, design",Assisted 12K refugees in 2 years.,Scaling,"Multilingual UX, Social Impact, APIs, Jobs","refugee tech, innovation, turkey"
Chloe Anderson,chloe.anderson@opentoall.nz,6 years,New Zealand,Accessibility in Digital Design,Professional in Inclusive Tech | Passionate about innovation | Open for collaboration,Tools to improve web accessibility across industries.,"inclusion, design systems",AA compliance jumped by 45% in partner orgs.,Scaling,"WCAG, Accessibility Dev, UX, Product Ops","accessibility design, innovation, nz"
Ahmed Yahya,ahmed.y@logiclearn.sd,5 years,Sudan,Offline-First EdTech for Crisis Zones,Professional in EdAid | Passionate about innovation | Open for collaboration,Building learning tools that don’t rely on internet.,"education, social justice",80K students reached across rural zones.,Scaling,"Offline Apps, LMS, Curriculum Dev, UX","edtech crisis, innovation, sudan"
Annika Bergström,annika.b@gendertech.se,9 years,Sweden,Gender Representation Analytics,Professional in Gender Data | Passionate about innovation | Open for collaboration,Visualizing data around representation in media and tech.,"feminism, data, film",Cited by 50+ media campaigns.,Growth,"Analytics, Media Analysis, Dashboards, Policy","gender analytics, innovation, sweden"
Tariq Mahmood,tariq.mahmood@remotify.pk,7 years,Pakistan,Remote Jobs for Rural Talent,Professional in Remote Access | Passionate about innovation | Open for collaboration,Creating work opportunities for rural freelancers.,"remote work, equity, digital jobs",Enabled 15K+ jobs in 12 months.,Scaling,"Job Matching, Mobile Dev, Remote UX, SaaS","remote jobs, innovation, pakistan"
Tenzin Dorjee,tenzin.d@himalarrow.bt,6 years,Bhutan,Renewable Energy for Remote Villages,Professional in Energy Access | Passionate about innovation | Open for collaboration,Creating micro-hydro and solar solutions for Himalayan villages.,"hiking, eco tech, community",Electrified 20+ off-grid villages.,Growth,"SolarTech, Infrastructure, Local Deployment","remote energy, innovation, bhutan"
Isabelle Tremblay,isabelle.t@fashloop.ca,7 years,Canada,Sustainable Fashion Platforms,Professional in FashionTech | Passionate about innovation | Open for collaboration,Building digital marketplaces for eco-friendly and ethical clothing brands.,"fashion, climate, resale",Saved 12 tons of textile waste.,MVP,"E-commerce, UX, Green Sourcing, Branding","sustainable fashion, innovation, canada"
Abhishek Sinha,abhi.sinha@tracefresh.in,5 years,India,Farm-to-Fork Traceability,Professional in AgriTech | Passionate about innovation | Open for collaboration,Helping consumers trace the origin of their food using blockchain.,"farming, local markets, food chain",Traced 1M+ food items on-chain.,Growth,"Blockchain, QR, Supply Chain, UX","food traceability, innovation, india"
Clara Müller,clara.mueller@cybersafekids.de,8 years,Germany,Cyber Safety for Children,Professional in Online Safety | Passionate about innovation | Open for collaboration,Educating and protecting children from cyberbullying and online threats.,"parenting, tech ethics, gaming",Reached 50K+ kids via workshops.,Scaling,"UX, Education, Safeguards, Web Safety","child cybersecurity, innovation, germany"
Samir Baloch,samir.b@smartpastures.pk,6 years,Pakistan,Livestock Health Monitoring,Professional in Animal HealthTech | Passionate about innovation | Open for collaboration,Using sensors and data to track cattle health and disease.,"agriculture, sensors, fieldwork",Reduced livestock deaths by 23%.,Growth,"Sensors, Data, Field UX, AgriAI","livestock health, innovation, pakistan"
Ana Rodríguez,ana.rodriguez@teachcode.ec,5 years,Ecuador,Coding for Indigenous Youth,Professional in EdInclusion | Passionate about innovation | Open for collaboration,Teaching programming and digital tools to underrepresented students.,"culture, education, inclusion",200+ students trained in 3 languages.,MVP,"Curriculum Dev, Multilingual Tech, Remote UX","inclusive edtech, innovation, ecuador"
Tomo Yamamoto,tomo.y@disasterdash.jp,9 years,Japan,Natural Disaster Alert Apps,Professional in Emergency Tech | Passionate about innovation | Open for collaboration,Building mobile-first emergency response and coordination apps.,"maps, systems, alerts",Used by 2M+ during 2022 typhoon response.,Scaling,"Mobile Apps, GIS, Alerts, API Dev","disaster alert, innovation, japan"
Helena Duarte,helena.duarte@artbridge.pt,7 years,Portugal,Digital Portfolios for Artists,Professional in Art Careers | Passionate about innovation | Open for collaboration,Helping artists build interactive portfolios and gain commissions.,"painting, design, branding","Enabled 1,000+ artists to monetize work.",Growth,"No-code tools, UX, Creator Platforms","artist tools, innovation, portugal"
Idris Musa,idris.musa@agrinet.ng,6 years,Nigeria,Rural Farmer Internet Access,Professional in Connectivity | Passionate about innovation | Open for collaboration,Building mesh networks for digital literacy and agri updates.,"farming, connectivity, education",Connected 200 villages to weather & market data.,Growth,"Networking, Mesh Tech, Agri UX","rural internet, innovation, nigeria"
Katerina Stoyanova,katerina.s@docshare.bg,5 years,Bulgaria,Medical Record Sharing Between Clinics,Professional in Health Interoperability | Passionate about innovation | Open for collaboration,Streamlining patient data sharing with privacy-preserving tech.,"healthcare, law, UX",30% faster diagnostics across 4 hospitals.,Iteration,"API Integration, Health Data, Privacy","health data sharing, innovation, bulgaria"
